File,Undamped Coulomb
ACHC-AC-3.2_____,-0.0010824990000000054
ACHC-AC-3.4_0.4____,0.0003114106999999968
ACHC-AC-3.4_0.8____,0.0016085327999999974
ACHC-AC-3.4_1.2____,0.002594712099999999
ACHC-AC-3.4_2.0____,0.0030115379
ACHC-AC-3.4_n0.4____,-0.0009504350999999955
ACHC-AC-3.4_n1.2____,-6.43345000000072e-05
ACHC-AC-3.4_n1.6____,-7.001280000000845e-05
ACHC-AC-3.4__0.4___,-0.002008556199999991
ACHC-AC-3.4__0.8___,-0.003375705700000005
ACHC-AC-3.4__1.2___,-0.004109263400000008
ACHC-AC-3.4__2.0___,-0.0028723576999999927
ACHC-AC-3.4__n0.4___,0.00021998510000000731
ACHC-AC-3.4__n0.8___,0.0009685486000000027
ACHC-AC-3.4__n1.2___,0.0018909256000000005
ACHC-AC-3.4___120__,-0.0015769892999999966
ACHC-AC-3.4___150__,-0.002406960800000005
ACHC-AC-3.4___180__,0.00030786900000000055
ACHC-AC-3.4___30__,0.0006398699000000035
ACHC-AC-3.4___60__,0.002416580900000004
ACHC-AC-3.4___90__,-0.0007311850000000083
ACHC-AC-3.6____4_,-0.00026041020000000113
ACHC-AC-3.6____n12_,-0.0015424122999999931
ACHC-AC-3.6____n20_,-0.003071454400000004
ACHC-AC-3.6_____,-0.0004096819000000056
ACHC-AC-3.6_____12,0.0036360815000000017
ACHC-AC-3.6_____4,-0.0002128339999999953
ACHC-AC-3.6_____n12,-0.0008493748000000095
ACHC-AC-3.6_____n16,-0.0010368284999999983
ACHC-AC-3.6_____n20,-0.0012894486999999889
ACHC-AC-3.6_____n4,-0.0005636119000000002
ACHC-AC-3.6_____n8,-0.0007009466999999906
ACHC-AC-3.8_____,-0.0001931919000000014
ACHC-AC-4.0_____,-3.365839999999982e-05
