File,SAPT Coulomb,Undamped Coulomb
SSI-001LEU-154LEU-1,-0.001043343014,-2.3133499999999988e-05
SSI-003THR-182GLU-1,-0.003194251928,-0.0008887883999999
SSI-003TYR-056ALA-1,-0.002422461762,-0.0016192237
SSI-004LEU-031TYR-1,-0.000711710692,2.7698400000000185e-05
SSI-005LEU-010TRP-1,-0.000629001814,-0.0003086417999999
SSI-005LEU-015LYS-1,-0.000371791546,2.449389999999998e-05
SSI-005PHE-163LEU-1,-0.001682703358,0.0008218914
SSI-006GLU-010TYR-1,-0.002615608506,-0.0014076247999999
SSI-007THR-031LYS-1,-0.001402704324,-4.615939999999999e-05
SSI-009ARG-128ARG-2,0.10024889716799999,0.1015906469
SSI-009GLN-068ILE-1,-0.00031824591399999997,0.0003542037999999
SSI-009VAL-025ILE-1,-0.0010387215160000002,3.340580000000001e-05
SSI-013LEU-065PHE-1,-0.003917436684000001,0.0016672427999999
SSI-015ILE-034LEU-1,-0.000583743006,3.487690000000003e-05
SSI-016LEU-062LEU-1,-0.001674416534,5.554210000000005e-05
SSI-019VAL-075LEU-1,-0.0006669299699999999,3.4196900000000005e-05
SSI-022GLN-058GLU-1,-0.00429719633,-0.0002926680999999
SSI-023ASP-057ARG-1,-0.177265205166,-0.1728418677
SSI-023GLU-028LEU-1,-0.0012296371919999999,0.0002522542999999
SSI-024LEU-260ILE-1,-0.000925255772,-2.55306e-05
SSI-024LYS-069TYR-2,-0.007667224544000001,-0.0065321783
SSI-025SER-075ASP-1,0.0076643560280000005,0.0101857432
SSI-029PHE-103HIE-1,-0.000121433844,0.0024796307
SSI-031PHE-095TYR-1,-0.002899432228,-0.0008815061999999
SSI-034ASP-037PHE-1,-0.002196327084,0.0010331165
SSI-034TYR-143MET-1,-0.004078551666,-0.0033716998999999
SSI-035ALA-065LEU-1,-0.000771790166,-0.0001020397999999
SSI-036ARG-162GLN-1,-0.027143810736,-0.02651053
SSI-038PHE-046ARG-1,-0.001616568128,0.000173389
SSI-039THR-046THR-1,-0.019882959292,-0.0144425839
SSI-039THR-077LEU-1,-0.000850355632,8.224100000000001e-06
SSI-041ILE-107PHE-2,-0.001064378798,-0.0001264519
SSI-043LEU-055THR-1,-0.000827248142,8.425099999999998e-05
SSI-043TYR-048GLN-1,-0.002047323614,0.0020532506999999
SSI-048LYS-082ILE-1,-0.001158880464,0.0001436621
SSI-049GLU-080ARG-1,-0.137195223886,-0.1370178589
SSI-051VAL-104ILE-1,-0.000767965478,3.421720000000003e-05
SSI-052ILE-056GLN-1,-0.001185175194,-0.000383831
SSI-058TRP-180SER-1,-0.001044139824,0.0005524198
SSI-059PHE-118THR-1,-0.0034565617800000003,-0.0002184224999999
SSI-062ILE-105TYR-1,-0.0011174463440000002,0.0001844716999999
SSI-065THR-069ILE-1,-0.00090517616,-2.2341699999999976e-05
SSI-068ARG-072THR-1,-0.01888519381,-0.0173853119999999
SSI-068HIE-075LYS-1,-0.011312311569999999,-0.0099111585999999
SSI-070MET-075ILE-1,-0.0025749711959999998,1.0737699999999889e-05
SSI-075LEU-111LEU-2,-0.001340075058,2.8755e-05
SSI-079ASP-135ILE-1,-0.0009517098639999999,0.0003676746
SSI-083LEU-088TYR-2,-0.001124458272,0.0004797365
SSI-084TYR-089ASP-1,0.0023950514979999998,0.0054509087
SSI-091LYS-140SER-2,-0.023066533966,-0.0229384354
SSI-095TYR-106TYR-1,-0.012474219912000001,-0.0052037769999999
SSI-113ILE-185VAL-1,-0.002402860236,-0.0001109591
SSI-115ASP-156ASP-1,0.131104408246,0.1506207994
SSI-115GLU-123PRO-1,-0.0008626265060000001,-2.6092099999999967e-05
SSI-126LEU-162PHE-1,-0.00108764565,-0.0003275109
SSI-130VAL-185PHE-1,-0.001026450642,-0.0002597613999999
SSI-131ASP-182PHE-1,-0.00024462067,0.0027352162999999
SSI-131THR-149LEU-1,-0.000647965892,-4.414350000000001e-05
SSI-136SER-144ARG-1,-0.023189561430000002,-0.0211919582999999
SSI-153PHE-163LEU-1,-0.001056729422,-0.0006352806
SSI-158VAL-205TYR-1,-0.001427405434,-0.0002078804
SSI-165TYR-208ILE-1,-0.00079282595,0.0001930976999999
SSI-175LEU-233ALA-1,-0.0011816692300000002,5.9736e-05
SSI-189THR-199LYS-1,-0.0029193524780000003,0.0004447299999999
SSI-193HIE-248MET-1,-0.0018680413639999998,-0.0001933335
