File,SAPT Coulomb,Undamped Coulomb
JSCH-10,-0.037135808136,-0.0287718663
JSCH-14,-0.056361558539999995,-0.0456417513
JSCH-15,-0.013062903139999998,-0.0048042974999999
JSCH-18,-0.045527970418,-0.0354323736
JSCH-19,-0.045680479852,-0.0370275883999999
JSCH-23,-0.045599205232000006,-0.036302824
JSCH-25,-0.033418848848000005,-0.0235070052
JSCH-26,-0.047781508460000004,-0.0366360093
JSCH-30,-0.030734714682,-0.0215083661
JSCH-39,-0.0034301076880000002,-0.0028742981999999
JSCH-40,-0.006773363086000001,-0.0062016992
JSCH-41,-0.0034251674660000005,-0.0022055469
JSCH-43,0.0073677833460000005,0.007074854
JSCH-44,0.010049845806000001,0.0101998658999999
JSCH-45,-0.00182549171,0.0046721364999999
JSCH-46,0.003987237239999999,0.0038401396
JSCH-52,-0.000967486702,-0.0009202837999999
JSCH-55,0.0032068415260000003,0.0034731319
JSCH-100,0.003374171626,0.0069361887
JSCH-101,-0.005906593168,0.0018263946
JSCH-102,-0.0011093188820000001,0.0046451415999999
JSCH-103,-0.014566642971999999,-0.0086529201999999
JSCH-104,-0.008468656042,-0.0023277035999999
JSCH-106,-0.0029290735600000003,0.0015906406
JSCH-108,-0.0043690685920000005,-0.000914514
JSCH-109,-0.004501657776,0.0007497389
JSCH-110,-0.004155682874,0.0017695989999999
JSCH-111,-0.002688915026,-0.0026363360999999
JSCH-112,-0.004051300763999999,0.0007664936999999
JSCH-113,-0.005228189134,-0.0055897024
JSCH-114,-0.009246342602000001,-0.0027682084
JSCH-121,-0.010613987286,-0.0074348258999999
JSCH-124,-0.013711506479999998,-0.0093513513
